Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE,CV_R2_Mean,CV_R2_Std
Gradient Boosting (Tuned),0.678804554712451,0.678804554712451,46273.068912426184,46273.068912426184,28115.73615052375,28115.73615052375,,0.683208026175067,0.003762992765514509
Random Forest (Tuned),0.6785321758715562,0.6785321758715562,46292.68490346149,46292.68490346149,27944.419217279057,27944.419217279057,,0.683208026175067,0.003762992765514509
Random Forest,0.7326438692206925,0.6776340071585383,42295.14411103359,46357.30978396857,25787.714729104006,27848.398286357435,45.64202389013739,0.6799206545503541,0.005967772495235767
XGBoost,0.711971014720374,0.6771035178356477,43899.9001608896,46395.43717565107,26764.535547139185,27945.26084875733,46.57520742427191,0.6807350687724837,0.005600523283738411
Gradient Boosting,0.712127674224436,0.6770265717278934,43887.95991816653,46400.96485379471,26772.152443960935,27926.91730780499,46.323744528786506,0.680531360361598,0.005464861230174516
Decision Tree,0.7177245339775438,0.6455362845817415,43459.22745397616,48610.43497635413,26039.133984826563,28725.789355867768,46.39704836396138,0.6453837751841732,0.007411241344706255
Lasso Regression,0.5751362288171222,0.5686391018667623,53317.56231334553,53624.59213013603,40519.52211214685,40764.646202230775,251.88557566002592,0.571092027213588,0.004735203697696927
Ridge Regression,0.5751409828666207,0.5685707237904125,53317.26401179968,53628.84216899187,40521.90308291821,40772.01784312117,251.96939357441246,0.5709788295874298,0.004734898976312038
Linear Regression,0.5751413563921728,0.5685666904785369,53317.24057418384,53629.09284894382,40524.1087550036,40774.9344031808,252.0325549644628,0.5709640982358785,0.004743676716777931
